YEAR,COUNTRY,RENEWABLES_CAPACITY,SOLAR_CAPACITY,TOTAL_CAPACITY
1990,AL,0.0,0.0,0.0
1990,AT,11347.0,0.0,16686.0
1990,BA,0.0,0.0,0.0
1990,BE,1433.0,0.0,14141.0
1990,BG,1975.0,0.0,1975.0
1990,CY,0.0,0.0,0.0
1990,CZ,1410.0,0.0,15279.0
1990,DE,8343.0,2.0,99079.0
1990,DK,396.0,0.0,9120.0
1990,EE,0.0,0.0,0.0
1990,ES,15777.0,3.0,42844.0
1990,FI,3604.0,0.0,13220.0
1990,FR,24913.0,0.0,103336.0
1990,GB,3997.0,0.0,73206.0
1990,GE,0.0,0.0,0.0
1990,GR,2411.0,0.0,8508.0
1990,HR,2058.0,0.0,2058.0
1990,HU,48.0,0.0,7184.0
1990,IE,513.0,0.0,3807.0
1990,IS,802.0,0.0,944.0
1990,IT,19318.0,4.0,56555.0
1990,LT,95.0,0.0,5290.0
1990,LU,1133.0,0.0,1239.0
1990,LV,1487.0,0.0,2090.0
1990,MD,0.0,0.0,0.0
1990,ME,0.0,0.0,0.0
1990,MK,417.0,0.0,1430.0
1990,MT,0.0,0.0,0.0
1990,NL,112.0,1.0,17556.0
1990,NO,26925.0,0.0,27134.0
1990,PL,1888.0,0.0,27879.0
1990,PT,3550.0,0.0,7408.0
1990,RO,0.0,0.0,0.0
1990,RS,0.0,0.0,0.0
1990,SE,17539.0,0.0,34189.0
1990,SI,755.0,0.0,755.0
1990,SK,0.0,0.0,0.0
1990,TR,6782.0,0.0,16318.0
1990,UA,0.0,0.0,0.0
1990,XK,0.0,0.0,0.0
1991,AL,0.0,0.0,0.0
1991,AT,11448.0,0.0,16801.0
1991,BA,0.0,0.0,0.0
1991,BE,1433.0,0.0,14098.0
1991,BG,1975.0,0.0,1975.0
1991,CY,0.0,0.0,0.0
1991,CZ,1393.0,0.0,14965.0
1991,DE,8793.0,2.0,118191.0
1991,DK,462.0,0.0,9564.0
1991,EE,0.0,0.0,0.0
1991,ES,15862.0,4.0,43029.0
1991,FI,3652.0,0.0,13348.0
1991,FR,24983.0,0.0,104348.0
1991,GB,4336.0,0.0,70300.0
1991,GE,0.0,0.0,0.0
1991,GR,2515.0,0.0,8912.0
1991,HR,2058.0,0.0,2058.0
1991,HU,48.0,0.0,7193.0
1991,IE,516.0,0.0,3811.0
1991,IS,824.0,0.0,969.0
1991,IT,19699.0,5.0,57880.0
1991,LT,95.0,0.0,5290.0
1991,LU,1133.0,0.0,1239.0
1991,LV,1487.0,0.0,2088.0
1991,MD,0.0,0.0,0.0
1991,ME,0.0,0.0,0.0
1991,MK,417.0,0.0,1430.0
1991,MT,0.0,0.0,0.0
1991,NL,147.0,1.0,17545.0
1991,NO,26931.0,0.0,27140.0
1991,PL,1924.0,0.0,28293.0
1991,PT,3537.0,0.0,7456.0
1991,RO,0.0,0.0,0.0
1991,RS,0.0,0.0,0.0
1991,SE,17530.0,0.0,34480.0
1991,SI,755.0,0.0,755.0
1991,SK,0.0,0.0,0.0
1991,TR,7143.0,0.0,17210.0
1991,UA,0.0,0.0,0.0
1991,XK,0.0,0.0,0.0
1992,AL,1453.0,0.0,1453.0
1992,AT,11524.0,1.0,17260.0
1992,BA,0.0,0.0,0.0
1992,BE,1424.0,0.0,14039.0
